# wavelength[um] extinction_xsection[m^2/kg] ssa g
5.000000e+00 9.270181e+01 1.000000e+00 6.829382e-01
6.670000e+00 1.028373e+02 1.000000e+00 6.731106e-01
6.710000e+00 1.079387e+02 1.000000e+00 6.611111e-01
6.760000e+00 1.078606e+02 1.000000e+00 6.531259e-01
6.800000e+00 1.044590e+02 1.000000e+00 6.558111e-01
6.850000e+00 1.010281e+02 1.000000e+00 6.589544e-01
6.900000e+00 1.024749e+02 1.000000e+00 6.407048e-01
6.940000e+00 1.078623e+02 1.000000e+00 5.862418e-01
6.990000e+00 9.662291e+01 1.000000e+00 5.814056e-01
7.040000e+00 9.067979e+01 1.000000e+00 6.271337e-01
7.090000e+00 9.249152e+01 1.000000e+00 6.507419e-01
7.140000e+00 9.621179e+01 1.000000e+00 6.574635e-01
7.170000e+00 9.802074e+01 9.994814e-01 6.561468e-01
7.190000e+00 9.878302e+01 9.994572e-01 6.532722e-01
7.220000e+00 9.922530e+01 9.993033e-01 6.457959e-01
7.250000e+00 9.874635e+01 9.990013e-01 6.359337e-01
7.270000e+00 9.699697e+01 9.993258e-01 6.343560e-01
7.300000e+00 9.488906e+01 9.993192e-01 6.257293e-01
7.330000e+00 9.293448e+01 9.992482e-01 6.150203e-01
7.350000e+00 9.198497e+01 9.991624e-01 6.062284e-01
7.380000e+00 9.148749e+01 9.989369e-01 5.887594e-01
7.410000e+00 9.236202e+01 9.986103e-01 5.624038e-01
7.430000e+00 9.332101e+01 9.981810e-01 5.320555e-01
7.460000e+00 9.217274e+01 9.976571e-01 4.885032e-01
7.490000e+00 8.589495e+01 9.972096e-01 4.623505e-01
7.520000e+00 7.915326e+01 9.968489e-01 4.646048e-01
7.550000e+00 7.487943e+01 9.965059e-01 4.820688e-01
7.580000e+00 7.366655e+01 9.959077e-01 5.021981e-01
7.610000e+00 7.709373e+01 9.820467e-01 5.052907e-01
7.630000e+00 7.481692e+01 9.952889e-01 5.323130e-01
7.660000e+00 7.607426e+01 9.956039e-01 5.452406e-01
7.690000e+00 7.748768e+01 9.956300e-01 5.562795e-01
7.720000e+00 7.895674e+01 9.950740e-01 5.623561e-01
7.750000e+00 8.715685e+01 9.827561e-01 5.253751e-01
7.780000e+00 8.096183e+01 9.940807e-01 5.653072e-01
7.810000e+00 7.979437e+01 9.963867e-01 5.717703e-01
7.840000e+00 7.945916e+01 9.970285e-01 5.702522e-01
7.870000e+00 7.924783e+01 9.975278e-01 5.670515e-01
7.910000e+00 7.843516e+01 9.980571e-01 5.564583e-01
7.940000e+00 7.823781e+01 9.984748e-01 5.464891e-01
7.970000e+00 7.832589e+01 9.987103e-01 5.309483e-01
8.000000e+00 7.891101e+01 9.990015e-01 5.096466e-01
8.030000e+00 7.957762e+01 9.992320e-01 4.806080e-01
8.060000e+00 7.913496e+01 9.993542e-01 4.436189e-01
8.100000e+00 7.477667e+01 9.994971e-01 3.931403e-01
8.130000e+00 6.980560e+01 9.995750e-01 3.695869e-01
8.160000e+00 6.571729e+01 9.996241e-01 3.643048e-01
8.200000e+00 6.576094e+01 9.990123e-01 3.641966e-01
8.230000e+00 6.271886e+01 9.996712e-01 3.931329e-01
8.260000e+00 6.299705e+01 9.997983e-01 4.162198e-01
8.300000e+00 6.481957e+01 9.998316e-01 4.426558e-01
8.330000e+00 6.681193e+01 9.998552e-01 4.586458e-01
8.370000e+00 7.330019e+01 9.997336e-01 4.524148e-01
8.400000e+00 8.134801e+01 9.996307e-01 4.298851e-01
8.440000e+00 7.299486e+01 9.998920e-01 5.069395e-01
8.480000e+00 7.413981e+01 9.999230e-01 5.230247e-01
8.510000e+00 7.512351e+01 9.999252e-01 5.315648e-01
8.550000e+00 7.637370e+01 9.999258e-01 5.404460e-01
8.580000e+00 7.730580e+01 9.999388e-01 5.452921e-01
8.620000e+00 7.864005e+01 9.999515e-01 5.487539e-01
8.660000e+00 8.012827e+01 9.999377e-01 5.474712e-01
8.700000e+00 8.158857e+01 9.999468e-01 5.394800e-01
8.730000e+00 8.230080e+01 9.999367e-01 5.281126e-01
8.770000e+00 8.194833e+01 9.999354e-01 5.065461e-01
8.810000e+00 7.963201e+01 9.999149e-01 4.834598e-01
8.850000e+00 7.659278e+01 9.999096e-01 4.677294e-01
8.890000e+00 1.023142e+02 9.989958e-01 3.352758e-01
8.930000e+00 7.216395e+01 9.998810e-01 4.818249e-01
8.970000e+00 7.214170e+01 9.999013e-01 5.072104e-01
9.010000e+00 7.385239e+01 9.999002e-01 5.296344e-01
9.050000e+00 7.719441e+01 9.998964e-01 5.439493e-01
