# wavelength[um] extinction_xsection[m^2/kg] ssa g
3.817000e+00 4.548716e+02 4.587847e-01 5.767760e-01
3.846000e+00 4.465884e+02 4.573170e-01 5.699847e-01
3.861000e+00 4.436894e+02 4.562319e-01 5.665959e-01
3.906000e+00 4.351689e+02 4.530229e-01 5.563120e-01
3.953000e+00 4.276339e+02 4.507178e-01 5.456918e-01
4.000000e+00 4.199603e+02 4.510984e-01 5.351599e-01
4.082000e+00 4.050644e+02 4.508963e-01 5.162442e-01
4.149000e+00 3.888461e+02 4.506587e-01 4.998916e-01
4.219000e+00 3.778811e+02 4.592096e-01 4.847979e-01
4.274000e+00 3.523641e+02 4.610199e-01 4.689449e-01
4.292000e+00 3.465970e+02 4.597769e-01 4.641574e-01
4.367000e+00 3.344599e+02 4.375448e-01 4.456334e-01
4.464000e+00 3.289508e+02 4.179697e-01 4.252958e-01
4.587000e+00 3.184670e+02 4.082245e-01 4.012088e-01
4.717000e+00 2.972714e+02 4.040207e-01 3.756926e-01
4.808000e+00 2.834005e+02 3.940023e-01 3.585054e-01
4.950000e+00 2.651459e+02 3.663616e-01 3.332315e-01
5.102000e+00 2.583957e+02 3.266014e-01 3.099412e-01
5.181000e+00 2.580878e+02 3.059485e-01 2.990618e-01
5.263000e+00 2.606787e+02 2.854400e-01 2.886792e-01
5.319000e+00 2.637101e+02 2.721334e-01 2.820101e-01
5.376000e+00 2.690410e+02 2.581420e-01 2.756024e-01
5.435000e+00 2.776269e+02 2.465527e-01 2.696812e-01
5.495000e+00 2.862976e+02 2.370136e-01 2.639150e-01
5.556000e+00 2.968594e+02 2.302580e-01 2.585957e-01
5.618000e+00 3.087749e+02 2.278531e-01 2.538498e-01
5.650000e+00 3.117528e+02 2.290308e-01 2.514040e-01
5.682000e+00 3.143303e+02 2.294577e-01 2.488830e-01
5.747000e+00 3.214077e+02 2.293677e-01 2.439594e-01
5.814000e+00 3.286056e+02 2.376448e-01 2.400310e-01
5.882000e+00 3.186878e+02 2.504963e-01 2.351413e-01
5.952000e+00 3.038010e+02 2.598876e-01 2.293219e-01
6.024000e+00 2.878584e+02 2.682276e-01 2.232470e-01
6.061000e+00 2.786544e+02 2.731860e-01 2.201206e-01
6.098000e+00 2.673971e+02 2.802616e-01 2.169635e-01
6.135000e+00 2.534641e+02 2.884423e-01 2.135722e-01
6.173000e+00 2.363526e+02 2.930617e-01 2.094399e-01
6.211000e+00 2.236517e+02 2.942610e-01 2.056080e-01
6.250000e+00 2.123423e+02 2.908334e-01 2.016313e-01
6.329000e+00 1.956449e+02 2.828783e-01 1.944885e-01
6.410000e+00 1.824780e+02 2.701980e-01 1.876633e-01
6.494000e+00 1.727564e+02 2.526319e-01 1.810815e-01
6.536000e+00 1.683624e+02 2.448330e-01 1.779994e-01
6.579000e+00 1.634634e+02 2.343056e-01 1.747308e-01
6.623000e+00 1.605487e+02 2.206834e-01 1.715102e-01
6.667000e+00 1.611884e+02 2.061847e-01 1.686227e-01
6.711000e+00 1.620983e+02 1.933849e-01 1.658696e-01
6.803000e+00 1.631760e+02 1.713580e-01 1.603800e-01
6.897000e+00 1.640746e+02 1.551180e-01 1.552513e-01
6.993000e+00 1.575825e+02 1.338932e-01 1.493624e-01
7.092000e+00 1.659490e+02 1.108719e-01 1.441367e-01
7.194000e+00 1.739904e+02 9.117675e-02 1.388455e-01
7.299000e+00 1.882084e+02 7.522623e-02 1.336901e-01
7.353000e+00 1.994255e+02 6.844882e-02 1.310575e-01
7.463000e+00 2.386427e+02 6.395226e-02 1.263392e-01
7.576000e+00 2.866138e+02 6.874930e-02 1.223564e-01
