    cm-1  microns   25%       38%       50%       75%       84.5%     95.6%
   1170.   8.547    2.68E-01  3.76E-01  4.85E-01  7.58E-01  7.64E-01  6.69E-01
   1190.   8.403    2.85E-01  4.00E-01  4.98E-01  7.19E-01  7.26E-01  6.43E-01
   1210.   8.264    2.70E-01  3.81E-01  4.73E-01  6.63E-01  6.66E-01  5.32E-01
   1230.   8.130    2.28E-01  3.22E-01  4.09E-01  5.93E-01  5.90E-01  4.53E-01
   1240.   8.065    1.99E-01  2.85E-01  3.70E-01  5.47E-01  5.57E-01  4.27E-01
   1250.   8.000    1.73E-01  2.52E-01  3.29E-01  5.13E-01  5.27E-01  4.00E-01
   1270.   7.874    1.43E-01  2.06E-01  2.68E-01  4.45E-01  4.71E-01  3.58E-01
   1290.   7.752    1.27E-01  1.84E-01  2.39E-01  3.97E-01  4.12E-01  3.21E-01
   1310.   7.634    1.21E-01  1.72E-01  2.22E-01  3.51E-01  3.51E-01  3.08E-01
   1320.   7.576    1.19E-01  1.66E-01  2.14E-01  3.23E-01  3.18E-01  3.13E-01
   1340.   7.463    1.15E-01  1.57E-01  1.97E-01  2.62E-01  2.42E-01  3.62E-01
   1360.   7.353    1.09E-01  1.52E-01  1.82E-01  2.11E-01  2.01E-01  4.31E-01
   1370.   7.299    1.07E-01  1.46E-01  1.75E-01  1.95E-01  1.87E-01  4.37E-01
   1390.   7.194    1.02E-01  1.35E-01  1.61E-01  1.73E-01  1.61E-01  3.34E-01
   1410.   7.092    9.70E-02  1.27E-01  1.50E-01  1.58E-01  1.38E-01  2.26E-01
   1430.   6.993    9.20E-02  1.21E-01  1.43E-01  1.43E-01  1.16E-01  1.00E-01
   1450.   6.897    8.90E-02  1.17E-01  1.36E-01  1.43E-01  1.02E-01  6.70E-02
   1470.   6.803    8.60E-02  1.12E-01  1.30E-01  1.37E-01  9.40E-02  5.80E-02
   1490.   6.711    8.40E-02  1.08E-01  1.25E-01  1.30E-01  8.80E-02  5.20E-02
   1500.   6.667    8.30E-02  1.07E-01  1.22E-01  1.26E-01  8.70E-02  4.70E-02
   1510.   6.623    8.30E-02  1.06E-01  1.21E-01  1.22E-01  8.70E-02  4.50E-02
   1520.   6.579    8.30E-02  1.05E-01  1.20E-01  1.21E-01  8.80E-02  4.80E-02
   1530.   6.536    8.30E-02  1.04E-01  1.20E-01  1.22E-01  9.30E-02  5.20E-02
   1540.   6.494    8.50E-02  1.05E-01  1.20E-01  1.23E-01  9.80E-02  5.60E-02
   1560.   6.410    8.80E-02  1.11E-01  1.22E-01  1.25E-01  1.05E-01  6.50E-02
   1580.   6.329    9.60E-02  1.20E-01  1.28E-01  1.30E-01  1.11E-01  7.00E-02
   1600.   6.250    1.12E-01  1.35E-01  1.38E-01  1.38E-01  1.16E-01  6.90E-02
