#optical constants for S8 aerosols, 10 um radius
#k and w from Kerber ++ (2015), g for VIS from Kerber++ (2015) and rest from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
1.0361835816e-01 2.0415548041e+00 5.9395992970e-01 8.1500310000e-01
1.0537353250e-01 2.0420184535e+00 5.9395992970e-01 8.1500310000e-01
1.1799103916e-01 2.0453515122e+00 5.9935007320e-01 8.1500310000e-01
1.1808065815e-01 2.0454180433e+00 5.9938835804e-01 8.1500310000e-01
1.2141748504e-01 2.0478952278e+00 6.3049402776e-01 8.1500310000e-01
1.3011613607e-01 2.0543529087e+00 6.2641836583e-01 8.1500310000e-01
1.3263658917e-01 2.0551396853e+00 6.2523743390e-01 8.1500310000e-01
1.4113494529e-01 2.0577925049e+00 6.0344800453e-01 8.1500310000e-01
1.4710634809e-01 2.0596565188e+00 5.9278126259e-01 8.1500310000e-01
1.5295329018e-01 2.0586392696e+00 5.8233684534e-01 8.1500310000e-01
1.6592853620e-01 2.0563818404e+00 5.7087407938e-01 8.1500310000e-01
1.6644630638e-01 2.0562917589e+00 5.7179713635e-01 8.1500310000e-01
1.7848932961e-01 2.0527780735e+00 5.9326688659e-01 7.3882918795e-01
1.8427040035e-01 2.0510913821e+00 5.9418473071e-01 7.0226305622e-01
2.0105139242e-01 2.0660495236e+00 5.9684900095e-01 7.2083651723e-01
2.0650745619e-01 2.0709129174e+00 5.9592473636e-01 7.2687537281e-01
2.2490810717e-01 2.0725376289e+00 5.9280764116e-01 7.3468975190e-01
2.3344608522e-01 2.0732915017e+00 5.9086608706e-01 7.3831565607e-01
2.5116200162e-01 2.0705805753e+00 5.8683745056e-01 7.7705793527e-01
2.5993666509e-01 2.0692378581e+00 5.8549583112e-01 7.9624692073e-01
2.8197063079e-01 2.0715617005e+00 5.8212690457e-01 8.1096548265e-01
2.9128275157e-01 2.0725438161e+00 5.8718170324e-01 8.1718592559e-01
3.1390807921e-01 2.0808329561e+00 5.9946316725e-01 8.5458410587e-01
3.2516655284e-01 2.0849576727e+00 5.9988551829e-01 8.7319362318e-01
3.5538005793e-01 2.0863431098e+00 6.0101894947e-01 8.7273326145e-01
3.6558170985e-01 2.0868109055e+00 6.1880861985e-01 8.7257781937e-01
3.7731070008e-01 2.0900461455e+00 6.3926166723e-01 8.3048063186e-01
3.8702934469e-01 2.0927268662e+00 6.6907064396e-01 7.9559889045e-01
3.9193457894e-01 2.0940798906e+00 6.9542812020e-01 7.7799323453e-01
3.9638520710e-01 2.0953075198e+00 7.2407835516e-01 7.6201923127e-01
3.9923582160e-01 2.0960938127e+00 7.5733055048e-01 7.5178792825e-01
4.0596723367e-01 2.0979505568e+00 7.9514411274e-01 7.2762783345e-01
4.0888675756e-01 2.0987558572e+00 8.2653294917e-01 7.1714920380e-01
4.0987973387e-01 2.0990297526e+00 8.3850989001e-01 7.1358525591e-01
4.1161654066e-01 2.0989901497e+00 8.5945865969e-01 7.1078332437e-01
4.1700756141e-01 2.0988672230e+00 8.9635050123e-01 7.0208617324e-01
4.2524331635e-01 2.0986794303e+00 9.3857594323e-01 6.8879970884e-01
4.3961192212e-01 2.0983517957e+00 9.7104217812e-01 6.6561932398e-01
4.4777612393e-01 2.0981656345e+00 9.9467800964e-01 6.5244829383e-01
4.5930764195e-01 2.0979026915e+00 9.9569018176e-01 6.3384488651e-01
4.9775071192e-01 2.1055969627e+00 9.9906449933e-01 6.2532227180e-01
5.1469612307e-01 2.1089885386e+00 9.9903621227e-01 6.2156556844e-01
5.5777509078e-01 2.1162767233e+00 9.9896430033e-01 6.3710374359e-01
5.7676397018e-01 2.1194892994e+00 9.9896430033e-01 6.4395285232e-01
6.2503788431e-01 2.1166447189e+00 9.9896430033e-01 6.5046058207e-01
6.4631665635e-01 2.1153908496e+00 9.9896430033e-01 6.5332913955e-01
7.0041198196e-01 2.1246302836e+00 9.9896430033e-01 6.8881385518e-01
7.2425678765e-01 2.1287029554e+00 9.9896430033e-01 7.0445524636e-01
7.8487553601e-01 2.1393530500e+00 9.9896430033e-01 6.5460984049e-01
8.1159581654e-01 2.1440475302e+00 9.9896430033e-01 6.3263836692e-01
8.7952465534e-01 2.1427385882e+00 9.9896430033e-01 7.5880471302e-01
9.0946716781e-01 2.1421616165e+00 9.9896430033e-01 8.1441787318e-01
9.8558762996e-01 2.1434442158e+00 9.9896430033e-01 8.1331096748e-01
1.0159812438e+00 2.1439563360e+00 9.9896430033e-01 8.1286899874e-01
1.1044408709e+00 2.1534323706e+00 9.9896430033e-01 8.1178616583e-01
1.1338860536e+00 2.1565866183e+00 9.9896430033e-01 8.1142572781e-01
1.2376267723e+00 2.1660977879e+00 9.9896430033e-01 8.1029802297e-01
1.2797605031e+00 2.1699606980e+00 9.9896430033e-01 8.0984001176e-01
1.3868737276e+00 2.1788091099e+00 9.9896430033e-01 8.0799453853e-01
1.4340884175e+00 2.1827094222e+00 9.9896430033e-01 8.0718106805e-01
1.5541185593e+00 2.1919425477e+00 9.9896430033e-01 8.0689032719e-01
1.6070269276e+00 2.1960124388e+00 9.9896430033e-01 8.0676217084e-01
1.7415316538e+00 2.2050532075e+00 9.9896430033e-01 8.0950038814e-01
