#optical constants for H2SO4 aerosols, 1 um radius
#k and w from Kerber ++ (2015), g for VIS from Kerber++ (2015) and rest from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
2.4252487486e+00 1.4492526490e+00 9.8579021623e-01 7.4686425682e-01
2.4552043150e+00 1.3911809625e+00 9.8325041477e-01 7.4624850218e-01
2.4816238953e+00 1.3215148245e+00 9.8101041411e-01 7.4570543186e-01
2.5000000000e+00 1.2951240778e+00 9.7945238457e-01 7.4532770000e-01
2.5451486776e+00 1.2302840406e+00 9.7562442566e-01 7.4487391064e-01
2.5901758904e+00 1.1341837143e+00 9.7180676522e-01 7.4442134213e-01
2.6667788326e+00 1.0416170549e+00 9.6531193680e-01 7.4365140595e-01
2.7000000000e+00 1.0152515919e+00 9.6249525931e-01 7.4331750000e-01
2.7003080721e+00 1.0150070953e+00 9.6246913923e-01 7.4330186883e-01
2.7340749618e+00 9.8820852822e-01 8.8818222823e-01 7.4158858187e-01
2.7449691821e+00 9.7956249965e-01 8.7871249354e-01 7.4103582366e-01
2.7495834318e+00 9.0746939716e-01 8.7470158507e-01 7.4080170278e-01
2.7615571174e+00 9.0942935326e-01 8.6429353173e-01 7.4019417394e-01
2.7823280910e+00 9.1282932529e-01 9.2788817285e-01 7.3914028243e-01
2.7913414362e+00 9.1430470734e-01 6.7782869488e-01 7.3868295732e-01
2.9310106333e+00 9.3716696569e-01 5.7259766703e-01 7.3159632848e-01
3.0000000000e+00 1.0267651801e+00 5.2061897653e-01 7.2809590000e-01
3.0195136641e+00 1.0521080633e+00 5.0591678755e-01 7.2567905465e-01
3.0321545243e+00 1.0582733145e+00 4.9639277840e-01 7.2411343355e-01
3.0619239482e+00 1.0727925778e+00 4.7078020722e-01 7.2042637132e-01
3.0724509253e+00 1.0779268374e+00 4.4562564577e-01 7.1912256310e-01
3.1894663281e+00 1.1349980606e+00 4.3695588778e-01 7.0462973740e-01
3.2000000000e+00 1.1416205134e+00 4.3617544022e-01 7.0332510000e-01
3.3134197408e+00 1.2129267863e+00 4.2777208749e-01 6.8736475678e-01
3.3222991460e+00 1.2140459983e+00 4.2711420577e-01 6.8611525335e-01
3.3920000000e+00 1.2228315002e+00 4.3891222126e-01 6.7630700000e-01
3.4597492481e+00 1.2313710104e+00 4.5037989536e-01 6.6897176382e-01
3.5000000000e+00 1.2364444498e+00 4.5534103772e-01 6.6461380000e-01
3.5332724230e+00 1.2406382999e+00 4.5944205992e-01 6.6134453157e-01
3.6685356140e+00 1.1692582515e+00 4.7611404529e-01 6.4805389505e-01
3.7164320310e+00 1.1433354311e+00 4.8201756092e-01 6.4334770807e-01
3.7500000000e+00 1.1251675495e+00 4.8276801325e-01 6.4004940000e-01
3.8135121951e+00 1.0907930528e+00 4.8418790477e-01 6.3436838658e-01
4.0000000000e+00 1.0286733219e+00 4.8835706398e-01 6.1768750000e-01
4.0692799058e+00 1.0055959463e+00 4.8990589961e-01 6.1147390995e-01
4.0996549847e+00 9.9058080250e-01 4.9058497104e-01 6.0874962380e-01
4.2469955523e+00 9.1774675906e-01 4.8954400373e-01 5.9553491351e-01
4.4044492477e+00 8.5968145367e-01 4.8843158674e-01 5.8141317498e-01
4.4138317167e+00 8.5622141466e-01 4.8678834367e-01 5.8057167823e-01
4.4947658410e+00 8.3892922339e-01 4.7261356319e-01 5.7331284230e-01
4.5000000000e+00 8.3781090550e-01 4.7221943115e-01 5.7284340000e-01
4.6990326654e+00 7.9528606262e-01 4.5723227629e-01 5.5650456966e-01
4.9124561210e+00 7.2812916508e-01 4.4116149528e-01 5.3898438208e-01
4.9649414137e+00 7.1161387901e-01 4.3142192886e-01 5.3467580142e-01
5.0000000000e+00 7.1358120122e-01 4.2491619341e-01 5.3179780000e-01
5.0794711432e+00 7.1804074629e-01 4.1016892923e-01 5.2361518089e-01
5.1419277416e+00 7.2154551550e-01 3.8102079595e-01 5.1718443717e-01
5.2879693071e+00 7.2974067813e-01 3.4895864494e-01 5.0214750105e-01
5.3456664137e+00 7.3297836714e-01 3.2114064361e-01 4.9620681078e-01
5.4883570662e+00 7.4098549237e-01 3.0057174969e-01 4.8151489605e-01
5.5000000000e+00 7.4386471036e-01 2.9889341781e-01 4.8031610000e-01
5.5204173662e+00 7.4891378554e-01 2.9595024927e-01 4.7909107845e-01
5.7208649679e+00 7.9848310808e-01 2.8144529409e-01 4.6706442279e-01
5.7932056616e+00 8.1637246743e-01 2.9094469200e-01 4.6272405351e-01
