# wavelength[um] extinction_xsection[m^2/kg] ssa g
3.600000e-01 1.001541e+03 1.000000e+00 7.930937e-01
4.450000e-01 1.009533e+03 1.000000e+00 7.102353e-01
4.490000e-01 9.643886e+02 1.000000e+00 7.966094e-01
5.560000e-01 1.042104e+03 1.000000e+00 7.755877e-01
7.020000e-01 6.663631e+02 1.000000e+00 5.379294e-01
7.140000e-01 7.041219e+02 1.000000e+00 5.645053e-01
7.250000e-01 7.491961e+02 1.000000e+00 5.644260e-01
7.350000e-01 7.905414e+02 1.000000e+00 5.485139e-01
7.460000e-01 8.039493e+02 9.999994e-01 5.096502e-01
7.580000e-01 7.339669e+02 9.999993e-01 5.043808e-01
7.690000e-01 7.221336e+02 9.999991e-01 5.427814e-01
7.810000e-01 7.693844e+02 9.999990e-01 5.788207e-01
7.940000e-01 8.493121e+02 9.999989e-01 6.015047e-01
8.060000e-01 9.181434e+02 9.999987e-01 6.033841e-01
8.200000e-01 9.640751e+02 9.999985e-01 5.865311e-01
8.330000e-01 9.305125e+02 9.999982e-01 5.822117e-01
8.470000e-01 9.111053e+02 9.999981e-01 6.139240e-01
8.620000e-01 9.657647e+02 9.999981e-01 6.546807e-01
8.770000e-01 1.050190e+03 9.999980e-01 6.770231e-01
8.930000e-01 1.153796e+03 9.999978e-01 6.862871e-01
9.090000e-01 1.221156e+03 9.999975e-01 6.787109e-01
9.260000e-01 1.217747e+03 9.999971e-01 6.718425e-01
9.430000e-01 1.201784e+03 9.999964e-01 6.895432e-01
9.620000e-01 1.237657e+03 9.999954e-01 7.175982e-01
9.800000e-01 1.311320e+03 9.999941e-01 7.386073e-01
1.000000e+00 1.407191e+03 9.999921e-01 7.506478e-01
1.020000e+00 1.483801e+03 9.999900e-01 7.507131e-01
1.042000e+00 1.504769e+03 9.999885e-01 7.453290e-01
1.064000e+00 1.481981e+03 9.999886e-01 7.460742e-01
1.087000e+00 1.490806e+03 9.999893e-01 7.574579e-01
1.111000e+00 1.537794e+03 9.999895e-01 7.698395e-01
1.136000e+00 1.608792e+03 9.999886e-01 7.815354e-01
1.163000e+00 1.671568e+03 9.999870e-01 7.884575e-01
1.190000e+00 1.685269e+03 9.999847e-01 7.888320e-01
1.220000e+00 1.653177e+03 9.999813e-01 7.886690e-01
1.250000e+00 1.628816e+03 9.999763e-01 7.897064e-01
1.266000e+00 1.628287e+03 9.999729e-01 7.907365e-01
1.282000e+00 1.635261e+03 9.999684e-01 7.925161e-01
1.299000e+00 1.647812e+03 9.999633e-01 7.942213e-01
1.316000e+00 1.662399e+03 9.999573e-01 7.951348e-01
1.333000e+00 1.675100e+03 9.999489e-01 7.965748e-01
1.351000e+00 1.682757e+03 9.999376e-01 7.978586e-01
1.370000e+00 1.680906e+03 9.999246e-01 7.989026e-01
1.389000e+00 1.667237e+03 9.999093e-01 7.996764e-01
1.408000e+00 1.646659e+03 9.998909e-01 7.996759e-01
1.429000e+00 1.617836e+03 9.998609e-01 7.996827e-01
1.449000e+00 1.586594e+03 9.998160e-01 8.004391e-01
1.471000e+00 1.557094e+03 9.997595e-01 8.012844e-01
1.493000e+00 1.534401e+03 9.996771e-01 8.020043e-01
1.515000e+00 1.517982e+03 9.995995e-01 8.023965e-01
1.538000e+00 1.505583e+03 9.995037e-01 8.023447e-01
1.562000e+00 1.495059e+03 9.993833e-01 8.018142e-01
1.587000e+00 1.487017e+03 9.992475e-01 8.004603e-01
1.613000e+00 1.472224e+03 9.991011e-01 7.990679e-01
1.639000e+00 1.451648e+03 9.989284e-01 7.973051e-01
1.667000e+00 1.422240e+03 9.987086e-01 7.949418e-01
1.695000e+00 1.385857e+03 9.984693e-01 7.921184e-01
1.724000e+00 1.343838e+03 9.982037e-01 7.888143e-01
1.754000e+00 1.299730e+03 9.979167e-01 7.852748e-01
1.786000e+00 1.260438e+03 9.976623e-01 7.814312e-01
1.818000e+00 1.221914e+03 9.974583e-01 7.785630e-01
1.852000e+00 1.183581e+03 9.972577e-01 7.768043e-01
1.887000e+00 1.153963e+03 9.969921e-01 7.755694e-01
1.923000e+00 1.127247e+03 9.966192e-01 7.750409e-01
1.961000e+00 1.100825e+03 9.961711e-01 7.748982e-01
2.000000e+00 1.069153e+03 9.956156e-01 7.751380e-01
2.041000e+00 1.033605e+03 9.952318e-01 7.748802e-01
2.083000e+00 9.980666e+02 9.948431e-01 7.734278e-01
2.128000e+00 9.523063e+02 9.943022e-01 7.706962e-01
2.174000e+00 8.990880e+02 9.933925e-01 7.661181e-01
2.222000e+00 8.445965e+02 9.923920e-01 7.589930e-01
2.273000e+00 7.947844e+02 9.915168e-01 7.491182e-01
2.326000e+00 7.411678e+02 9.900307e-01 7.373254e-01
2.381000e+00 6.963409e+02 9.892873e-01 7.244601e-01
2.439000e+00 6.528443e+02 9.880988e-01 7.116654e-01
2.500000e+00 6.134878e+02 9.861805e-01 7.002110e-01
2.564000e+00 5.619790e+02 1.000000e+00 6.902093e-01
2.632000e+00 5.174436e+02 1.000000e+00 6.845115e-01
2.688000e+00 4.756304e+02 1.000000e+00 6.828869e-01
2.725000e+00 4.465633e+02 1.000000e+00 6.830177e-01
2.762000e+00 4.076056e+02 1.000000e+00 6.849103e-01
2.770000e+00 3.997735e+02 1.000000e+00 6.853128e-01
