#optical constants for S8 aerosols, 1 um radius
#k and w from Kerber ++ (2015), g for VIS from Kerber++ (2015) and rest from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
2.4514746645e+00 2.7946758997e+00 9.9758509846e-01 7.4632516739e-01
2.5196469688e+00 2.7012469534e+00 9.9734911969e-01 7.4513022832e-01
2.6898612012e+00 2.6121103755e+00 9.9675992226e-01 7.3883090024e-01
3.0085518144e+00 2.4452207431e+00 9.9539686932e-01 7.2703672358e-01
3.0216724340e+00 2.4371649289e+00 9.9534075189e-01 7.2541168236e-01
3.1522724992e+00 2.3569789395e+00 9.9567182498e-01 7.0923634188e-01
3.2900664196e+00 2.2797914191e+00 9.9602113460e-01 6.9065101911e-01
3.3777252629e+00 2.2218025769e+00 9.9624335106e-01 6.7849106735e-01
3.3986961627e+00 2.2079297245e+00 9.9634235982e-01 6.7558200398e-01
3.5262471381e+00 2.1325886017e+00 9.9694455924e-01 6.6203481920e-01
3.6845846732e+00 2.0548295562e+00 9.9769210956e-01 6.4647695301e-01
3.7850493631e+00 2.0056686196e+00 9.9816642799e-01 6.3711889216e-01
3.8403371239e+00 1.9786143570e+00 9.9816642799e-01 6.3196896108e-01
4.0026734445e+00 1.9031613098e+00 9.9816642799e-01 6.1744772357e-01
4.1718719441e+00 1.8284704146e+00 9.9816642799e-01 6.0227261470e-01
4.2414931843e+00 1.7988830156e+00 9.9816642799e-01 5.9602841099e-01
4.3482226965e+00 1.7535254687e+00 9.9796578840e-01 5.8645603315e-01
4.5320280373e+00 1.6780724215e+00 9.9762025484e-01 5.7021417998e-01
4.7236030820e+00 1.6021112730e+00 9.9726011511e-01 5.5448755467e-01
4.7529801349e+00 1.5910475696e+00 9.9720488953e-01 5.5207595715e-01
4.9232762668e+00 1.5269122765e+00 9.9749057599e-01 5.3809614333e-01
5.1313899112e+00 1.4512051786e+00 9.9783970459e-01 5.1826944802e-01
5.3261479345e+00 1.3830018584e+00 9.9816642799e-01 4.9821649976e-01
5.3483008049e+00 1.3752440301e+00 9.9819959204e-01 4.9593556490e-01
5.5743808197e+00 1.2992828816e+00 9.9853804618e-01 4.7585332520e-01
5.8100175471e+00 1.2238298344e+00 9.9889080723e-01 4.6171535719e-01
5.9684347536e+00 1.1756521166e+00 9.9912796645e-01 4.5305570979e-01
6.0556149623e+00 1.1491389392e+00 9.9897463696e-01 4.4829012981e-01
6.3115941173e+00 1.0729237400e+00 9.9852442982e-01 4.3606465993e-01
6.5783938624e+00 9.9670854082e-01 9.9805519180e-01 4.1578282493e-01
6.6881757409e+00 9.6651936423e-01 9.9786211129e-01 4.0384636675e-01
6.8564715990e+00 9.2023929097e-01 9.9587701154e-01 3.8554775044e-01
7.1869256027e+00 8.3542266216e-01 9.9197920818e-01 3.4961786428e-01
7.4947111911e+00 7.5735806146e-01 9.8834878552e-01 3.1644846783e-01
