#optical constants for H2SO4 aerosols, 10 um radius
#k and w from Kerber ++ (2015), g for VIS from Kerber++ (2015) and rest from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
2.0000000000e-01 2.0541894321e+00 9.9718802496e-01 8.1500310000e-01
2.0465713629e-01 2.0541894321e+00 9.9718802496e-01 8.1518466312e-01
2.0584290234e-01 2.0541894321e+00 9.9719756351e-01 8.1523089139e-01
2.2763033545e-01 2.0576845093e+00 9.9737282621e-01 8.1608029626e-01
2.2798296676e-01 2.0576665627e+00 9.9737566286e-01 8.1609404394e-01
2.5000000000e-01 2.0565460406e+00 9.9745095855e-01 8.1695240000e-01
2.5396682573e-01 2.0563441553e+00 9.9746452464e-01 8.1719143298e-01
2.5497779927e-01 2.0562927034e+00 9.9746762831e-01 8.1725235223e-01
2.8291213807e-01 2.0788876932e+00 9.9755338642e-01 8.1893561962e-01
2.8347892153e-01 2.0793461420e+00 9.9755494841e-01 8.1896977285e-01
3.0000000000e-01 2.0776244890e+00 9.9760047872e-01 8.1996530000e-01
3.1515642896e-01 2.0760450455e+00 9.9764224820e-01 8.2041696158e-01
3.1753602352e-01 2.0757970691e+00 9.9764813515e-01 8.2048787350e-01
3.3700000000e-01 2.0781483712e+00 9.9769628769e-01 8.2106790000e-01
3.5039474060e-01 2.0797664928e+00 9.9772942536e-01 8.2223923817e-01
3.5107569222e-01 2.0799942305e+00 9.9773110998e-01 8.2229878577e-01
3.8956145774e-01 2.0928654242e+00 9.9781657987e-01 8.2566427433e-01
3.9108877480e-01 2.0930949831e+00 9.9781997177e-01 8.2579783457e-01
4.0000000000e-01 2.0944343585e+00 9.9783773720e-01 8.2657710000e-01
4.3310618503e-01 2.0994102861e+00 9.9790373775e-01 8.2598837422e-01
4.3566226076e-01 2.0993763115e+00 9.9790883355e-01 8.2594291964e-01
4.8151829136e-01 2.0987668066e+00 9.9799089898e-01 8.2512746393e-01
4.8531591210e-01 2.0988821730e+00 9.9799769533e-01 8.2505993101e-01
4.8800000000e-01 2.0989637119e+00 9.9800200740e-01 8.2501220000e-01
5.1500000000e-01 2.0997839341e+00 9.9804538375e-01 8.2582390000e-01
5.3534184671e-01 2.1004018909e+00 9.9807806357e-01 8.2392385528e-01
5.4062872952e-01 2.1014813112e+00 9.9808655711e-01 8.2343003021e-01
5.5000000000e-01 2.1033946390e+00 9.9810007202e-01 8.2255470000e-01
5.9518173657e-01 2.1126193724e+00 9.9816523149e-01 8.2253118372e-01
6.0224570408e-01 2.1134819949e+00 9.9817541889e-01 8.2252750706e-01
6.3300000000e-01 2.1172375821e+00 9.9821523381e-01 8.2251150000e-01
6.6171045981e-01 2.1207435846e+00 9.9825240276e-01 8.2125793543e-01
6.7088533826e-01 2.1222676943e+00 9.9826428068e-01 8.2085733918e-01
6.9400000000e-01 2.1261074489e+00 9.9829114358e-01 8.1984810000e-01
7.3567568646e-01 2.1330305184e+00 9.9833957735e-01 8.1866538921e-01
7.4734802432e-01 2.1331419848e+00 9.9835314246e-01 8.1833414092e-01
8.1790866025e-01 2.1338158126e+00 9.9842675526e-01 8.1633170658e-01
8.3252537744e-01 2.1349278275e+00 9.9844200424e-01 8.1591690000e-01
8.6000000000e-01 2.1370180500e+00 9.9846773473e-01 8.1513720000e-01
9.0933354033e-01 2.1407712617e+00 9.9851393649e-01 8.1441981632e-01
9.2741063271e-01 2.1443187194e+00 9.9853086602e-01 8.1415694828e-01
1.0132991607e+00 2.1611735274e+00 9.9860307261e-01 8.1290800025e-01
1.0331102269e+00 2.1625985456e+00 9.9861972780e-01 8.1261991764e-01
1.0600000000e+00 2.1645327382e+00 9.9864002118e-01 8.1222890000e-01
1.1239837101e+00 2.1691351131e+00 9.9868830888e-01 8.1153337041e-01
1.1508567008e+00 2.1718247607e+00 9.9870858958e-01 8.1124124981e-01
1.2413154401e+00 2.1808785400e+00 9.9876987301e-01 8.1025792562e-01
1.2820230710e+00 2.1837638315e+00 9.9879745137e-01 8.0981541671e-01
1.3000000000e+00 2.1850380073e+00 9.9843141821e-01 8.0962000000e-01
1.3893025218e+00 2.1913676267e+00 9.9661310517e-01 8.0799567794e-01
1.4280452628e+00 2.1946355345e+00 9.9582425365e-01 8.0729098689e-01
1.5360000000e+00 2.2037413984e+00 9.9013080144e-01 8.0532740000e-01
1.5445971441e+00 2.2044665581e+00 9.8967739448e-01 8.0550106557e-01
1.5991868694e+00 2.2102556087e+00 9.8679837314e-01 8.0660379870e-01
1.7172504189e+00 2.2227758376e+00 9.8159809517e-01 8.0898872712e-01
1.7580300248e+00 2.2260829921e+00 9.7980189908e-01 8.0981249060e-01
1.8000000000e+00 2.2294866834e+00 9.7505079321e-01 8.1066030000e-01
1.9019610082e+00 2.2377555421e+00 9.6350855280e-01 8.1651133246e-01
1.9092026762e+00 2.2383428287e+00 9.5446094297e-01 8.1692689557e-01
1.9267787427e+00 2.2398733443e+00 9.3250172142e-01 8.1793549815e-01
2.0000000000e+00 2.2462494170e+00 9.3195114640e-01 8.2213730000e-01
2.1226111339e+00 2.2569263370e+00 9.3102919244e-01 8.2335257251e-01
2.1593710459e+00 2.2606127949e+00 9.3075278242e-01 8.2371692206e-01
2.2500000000e+00 2.2697014950e+00 9.2473923591e-01 8.2461520000e-01
2.3598741412e+00 2.2807201936e+00 9.1744870425e-01 8.3083161521e-01
2.3850674728e+00 2.2843022284e+00 9.1577703902e-01 8.3225699345e-01
2.4838765676e+00 2.2983510895e+00 8.9022451048e-01 8.3784737489e-01
2.5000000000e+00 2.3006435492e+00 8.8342347693e-01 8.3875960000e-01
2.5686912237e+00 2.3104101953e+00 8.5444879553e-01 8.4354981683e-01
2.6236581318e+00 2.3182254927e+00 8.4831843157e-01 8.4738296165e-01
2.7000000000e+00 2.3178518920e+00 8.3980415538e-01 8.5270670000e-01
2.7180007404e+00 2.3177638002e+00 8.3779656401e-01 8.5889509054e-01
2.7687749879e+00 2.3175153220e+00 7.5701710893e-01 8.7635053214e-01
2.7697362688e+00 2.3175106177e+00 7.3155555641e-01 8.7668100641e-01
2.7701916604e+00 2.3175083891e+00 7.8092092828e-01 8.7683756337e-01
2.7800582978e+00 2.3174601039e+00 8.0951135392e-01 8.8022956860e-01
2.7914279741e+00 2.3174044631e+00 6.7927741120e-01 8.8413829655e-01
2.7954628304e+00 2.3173847174e+00 7.0509163647e-01 8.8552542097e-01
2.8037523302e+00 2.3173441504e+00 6.5588468174e-01 8.8837522942e-01
2.8184658907e+00 2.3172721454e+00 6.2953598835e-01 8.9343353572e-01
2.8296213900e+00 2.3172175528e+00 5.8070519068e-01 8.9726863277e-01
2.8537511121e+00 2.3170994671e+00 5.6484901744e-01 9.0556407732e-01
2.8701633230e+00 2.3170191492e+00 6.0357329292e-01 9.1120635472e-01
2.9169275906e+00 2.3167902950e+00 5.7009129162e-01 9.2728322404e-01
3.0000000000e+00 2.3150272495e+00 5.1061360360e-01 9.5584230000e-01
3.0062378530e+00 2.3148948635e+00 5.0614746283e-01 9.5588207879e-01
3.2000000000e+00 2.3107826500e+00 5.0402437032e-01 9.5711770000e-01
3.2429783688e+00 2.3098705203e+00 5.0355344732e-01 9.5507454864e-01
3.2903227851e+00 2.3165580138e+00 5.0303468461e-01 9.5282383947e-01
3.3920000000e+00 2.3309201239e+00 5.0264218093e-01 9.4799020000e-01
3.5000000000e+00 2.3461753400e+00 5.0222526946e-01 9.4558880000e-01
3.5640375077e+00 2.3552207661e+00 5.0197806602e-01 9.4427037018e-01
3.5955652308e+00 2.3377652276e+00 5.0185635982e-01 9.4362126480e-01
3.6848428862e+00 2.3459978477e+00 5.0151172206e-01 9.4178318072e-01
3.7500000000e+00 2.3520062241e+00 5.0234824826e-01 9.4044170000e-01
4.0000000000e+00 2.3750596409e+00 5.0555789859e-01 9.3663820000e-01
4.0181554258e+00 2.3767338193e+00 5.0579098887e-01 9.3648849036e-01
4.1179024292e+00 2.3834379406e+00 5.0707160088e-01 9.3566597657e-01
4.4863745204e+00 2.4082034122e+00 5.1078259143e-01 9.3262755570e-01
4.5000000000e+00 2.4087371284e+00 5.1091981764e-01 9.3251520000e-01
4.5876870821e+00 2.4121718707e+00 5.1180293997e-01 9.3145995612e-01
4.9578863274e+00 2.4266727412e+00 5.1157038341e-01 9.2700490436e-01
5.0000000000e+00 2.4274221857e+00 5.1154392790e-01 9.2649810000e-01
