#optical constants for H2SO4 aerosols, 0.1 um radius
#k and w from Kerber ++ (2015), g from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
2.4021450655e+00 2.4616826929e+01 5.9664819844e-01 5.3930488105e-02
2.4339113774e+00 2.7330689299e+01 5.6417888829e-01 5.2430662020e-02
2.4536141339e+00 2.9013936939e+01 5.2950208220e-01 5.1500408980e-02
2.4900960248e+00 3.2130661069e+01 4.7506789788e-01 4.9777939853e-02
2.5106269495e+00 3.3884660847e+01 5.0038747058e-01 4.8902166937e-02
2.5476220309e+00 3.7045227923e+01 4.5151284710e-01 4.7481248750e-02
2.5524423292e+00 3.7457036075e+01 4.3860959632e-01 4.7296109286e-02
2.5578579625e+00 3.7985935540e+01 4.2411271871e-01 4.7088104018e-02
2.6096096877e+00 4.3040092314e+01 3.9103513649e-01 4.5100408232e-02
2.6194121069e+00 4.3997412350e+01 3.5234144816e-01 4.4723913975e-02
2.6436776367e+00 4.6367223053e+01 3.2124372459e-01 4.3791916225e-02
2.6747766100e+00 4.9404398835e+01 2.8945862756e-01 4.2597457530e-02
2.7004259322e+00 5.1909352920e+01 2.5969840408e-01 4.1616943108e-02
2.7257316379e+00 5.4380748878e+01 2.3218540648e-01 4.0920218825e-02
2.7370944674e+00 5.5490461095e+01 9.3260908926e-02 4.0607373994e-02
2.7659246745e+00 5.8306065518e+01 2.0772205122e-01 3.9813612085e-02
2.7803165765e+00 5.9711601836e+01 1.8511533587e-01 3.9417369920e-02
2.7816871184e+00 5.9845451156e+01 1.6217128372e-01 3.9379635751e-02
2.7962166023e+00 6.1264423942e+01 1.3863940875e-01 3.8979605641e-02
2.7968437662e+00 6.1325673783e+01 7.3445591164e-02 3.8962338375e-02
2.8064056640e+00 6.2259504107e+01 1.1530979540e-01 3.8699077338e-02
2.8093759272e+00 6.2549584793e+01 3.6859677711e-02 3.8617299160e-02
2.8430469726e+00 6.5837953281e+01 3.4187127773e-02 3.7690257837e-02
3.1027901522e+00 1.7339280187e+02 1.3570701688e-02 3.1335143212e-02
3.1708722485e+00 1.8407612852e+02 8.1668658338e-03 2.9988050429e-02
