# wavelength[um] extinction_xsection[m^2/kg] ssa g
3.817000e+00 1.650229e+02 3.574776e-03 5.197256e-03
3.846000e+00 1.652532e+02 3.454626e-03 5.116692e-03
3.861000e+00 1.659908e+02 3.390151e-03 5.076850e-03
3.906000e+00 1.597480e+02 3.363672e-03 4.963651e-03
3.953000e+00 1.552608e+02 3.267293e-03 4.842385e-03
4.000000e+00 1.548354e+02 3.116971e-03 4.727017e-03
4.082000e+00 1.566109e+02 2.886615e-03 4.544815e-03
4.149000e+00 1.557486e+02 2.806458e-03 4.415449e-03
4.219000e+00 1.464664e+02 2.930473e-03 4.301156e-03
4.274000e+00 1.224639e+02 3.401241e-03 4.215827e-03
4.292000e+00 1.135010e+02 3.562201e-03 4.177662e-03
4.367000e+00 9.422081e+01 3.776547e-03 4.012874e-03
4.464000e+00 9.041007e+01 3.454732e-03 3.821104e-03
4.587000e+00 8.704793e+01 3.155437e-03 3.610828e-03
4.717000e+00 7.905027e+01 3.060062e-03 3.410430e-03
4.808000e+00 7.211307e+01 3.048705e-03 3.276981e-03
4.950000e+00 6.379910e+01 2.959280e-03 3.080792e-03
5.102000e+00 5.692358e+01 2.812010e-03 2.887018e-03
5.181000e+00 5.524388e+01 2.644252e-03 2.790742e-03
5.263000e+00 5.249195e+01 2.544060e-03 2.697164e-03
5.319000e+00 5.317887e+01 2.346579e-03 2.633392e-03
5.376000e+00 5.274593e+01 2.227446e-03 2.573160e-03
5.435000e+00 5.339794e+01 2.051891e-03 2.510679e-03
5.495000e+00 5.392648e+01 1.919632e-03 2.452772e-03
5.556000e+00 5.551843e+01 1.746318e-03 2.393675e-03
5.618000e+00 5.604185e+01 1.625823e-03 2.336852e-03
5.650000e+00 5.678869e+01 1.555102e-03 2.308320e-03
5.682000e+00 5.752979e+01 1.488018e-03 2.280282e-03
5.747000e+00 5.694544e+01 1.422959e-03 2.226996e-03
5.814000e+00 5.545787e+01 1.367475e-03 2.172090e-03
5.882000e+00 5.220170e+01 1.330530e-03 2.114639e-03
5.952000e+00 5.480032e+01 1.153130e-03 2.055780e-03
6.024000e+00 5.911312e+01 9.931110e-04 2.001311e-03
6.061000e+00 6.072092e+01 9.358069e-04 1.975089e-03
6.098000e+00 6.141034e+01 8.901593e-04 1.948529e-03
6.135000e+00 6.303545e+01 8.353081e-04 1.922419e-03
6.173000e+00 6.366026e+01 7.994928e-04 1.897083e-03
6.211000e+00 6.427987e+01 7.654486e-04 1.872222e-03
6.250000e+00 6.399851e+01 7.379796e-04 1.846460e-03
6.329000e+00 6.427279e+01 6.849094e-04 1.797405e-03
6.410000e+00 5.907348e+01 6.885392e-04 1.749392e-03
6.494000e+00 5.064892e+01 7.005634e-04 1.694991e-03
6.536000e+00 4.696285e+01 6.990475e-04 1.667519e-03
6.579000e+00 4.338780e+01 6.814478e-04 1.637262e-03
6.623000e+00 4.077646e+01 6.382290e-04 1.605117e-03
6.667000e+00 4.276346e+01 5.246574e-04 1.571634e-03
6.711000e+00 4.741564e+01 4.161205e-04 1.540972e-03
6.803000e+00 5.300871e+01 2.856523e-04 1.481639e-03
6.897000e+00 6.204806e+01 1.497209e-04 1.411541e-03
6.993000e+00 9.440763e+01 5.957439e-05 1.335088e-03
7.092000e+00 2.180814e+02 7.129741e-05 1.253230e-03
7.194000e+00 3.166099e+02 1.042111e-04 1.216601e-03
7.299000e+00 3.845623e+02 1.512776e-04 1.221127e-03
7.353000e+00 3.605701e+02 1.653972e-04 1.239593e-03
7.463000e+00 2.840089e+02 1.750180e-04 1.255857e-03
7.576000e+00 2.453097e+02 1.531950e-04 1.214792e-03
7.634000e+00 2.420772e+02 1.417794e-04 1.188624e-03
7.752000e+00 2.537631e+02 1.234090e-04 1.134560e-03
7.874000e+00 2.824490e+02 1.165624e-04 1.084759e-03
8.000000e+00 3.126194e+02 1.161499e-04 1.040501e-03
8.065000e+00 3.312406e+02 1.183746e-04 1.019307e-03
8.130000e+00 3.495004e+02 1.198644e-04 9.972020e-04
8.264000e+00 4.015319e+02 1.314231e-04 9.542904e-04
8.403000e+00 4.530735e+02 1.591465e-04 9.268059e-04
8.547000e+00 4.099004e+02 1.894478e-04 9.575863e-04
8.621000e+00 3.735783e+02 2.025645e-04 9.802356e-04
8.696000e+00 3.348244e+02 2.132488e-04 1.000729e-03
8.850000e+00 2.687808e+02 2.250446e-04 1.015894e-03
8.929000e+00 2.427599e+02 2.282825e-04 1.012400e-03
9.009000e+00 2.186388e+02 2.324092e-04 1.005840e-03
9.091000e+00 1.959522e+02 2.279987e-04 9.870341e-04
9.174000e+00 1.822886e+02 2.177763e-04 9.624416e-04
9.259000e+00 1.771530e+02 1.957619e-04 9.286769e-04
9.346000e+00 1.822997e+02 1.744303e-04 8.974637e-04
9.434000e+00 1.920007e+02 1.615307e-04 8.738793e-04
9.524000e+00 1.920832e+02 1.606344e-04 8.613218e-04
9.615000e+00 1.796893e+02 1.593388e-04 8.474335e-04
9.709000e+00 1.676769e+02 1.504747e-04 8.251930e-04
9.804000e+00 1.671888e+02 1.207219e-04 7.836414e-04
9.901000e+00 1.983311e+02 8.851770e-05 7.343209e-04
1.010100e+01 3.652989e+02 8.970917e-05 6.451755e-04
1.020400e+01 4.203006e+02 1.212923e-04 6.325673e-04
1.030900e+01 3.632292e+02 1.573669e-04 6.859859e-04
1.038400e+01 3.033736e+02 1.837827e-04 7.471020e-04
1.041700e+01 2.743127e+02 1.977063e-04 7.792320e-04
1.052600e+01 2.005170e+02 2.334310e-04 8.423533e-04
1.063800e+01 1.530351e+02 2.517470e-04 8.397885e-04
1.075300e+01 1.366393e+02 2.308619e-04 7.947050e-04
1.087000e+01 1.479879e+02 1.917413e-04 7.515469e-04
1.098900e+01 1.601448e+02 1.862522e-04 7.427893e-04
1.111100e+01 1.454463e+02 2.171699e-04 7.644087e-04
1.123600e+01 1.064173e+02 2.837387e-04 7.846989e-04
1.136400e+01 7.415276e+01 3.533862e-04 7.628873e-04
1.144200e+01 6.370389e+01 3.825278e-04 7.458046e-04
1.149400e+01 5.652483e+01 4.099983e-04 7.340435e-04
1.176500e+01 3.990613e+01 4.502888e-04 6.702689e-04
1.190500e+01 3.592824e+01 4.465819e-04 6.430736e-04
1.219500e+01 3.307227e+01 3.919181e-04 5.945040e-04
1.250000e+01 3.265128e+01 3.305326e-04 5.543848e-04
1.265800e+01 3.123626e+01 3.161206e-04 0.000000e+00
1.282100e+01 3.158640e+01 2.776331e-04 0.000000e+00
1.315800e+01 3.866141e+01 1.899557e-04 0.000000e+00
1.351400e+01 4.392759e+01 1.429485e-04 0.000000e+00
1.388900e+01 4.925812e+01 1.099443e-04 0.000000e+00
1.428600e+01 5.427946e+01 8.655958e-05 0.000000e+00
1.470600e+01 5.866323e+01 6.968291e-05 0.000000e+00
1.492500e+01 6.051258e+01 6.265662e-05 0.000000e+00
1.538500e+01 6.625605e+01 4.884993e-05 0.000000e+00
1.587300e+01 7.516738e+01 3.639228e-05 0.000000e+00
1.612900e+01 8.199563e+01 3.059862e-05 0.000000e+00
1.666700e+01 1.110868e+02 2.086748e-05 0.000000e+00
1.694900e+01 1.360682e+02 1.835698e-05 0.000000e+00
1.724100e+01 1.727073e+02 1.905043e-05 0.000000e+00
1.754400e+01 2.020641e+02 2.345115e-05 0.000000e+00
1.785700e+01 1.875635e+02 3.108078e-05 0.000000e+00
1.818200e+01 1.402707e+02 4.035223e-05 0.000000e+00
1.851900e+01 9.720075e+01 5.066349e-05 0.000000e+00
1.886800e+01 6.855953e+01 6.000584e-05 0.000000e+00
1.960800e+01 4.308437e+01 6.701210e-05 0.000000e+00
2.000000e+01 3.818915e+01 6.446917e-05 0.000000e+00
2.040800e+01 3.645866e+01 5.850446e-05 0.000000e+00
2.083300e+01 3.594181e+01 5.242668e-05 0.000000e+00
2.127700e+01 3.565464e+01 4.687039e-05 0.000000e+00
2.222200e+01 3.984785e+01 3.343071e-05 0.000000e+00
2.272700e+01 4.441343e+01 2.782329e-05 0.000000e+00
2.325600e+01 4.629371e+01 2.648938e-05 0.000000e+00
2.439000e+01 3.766720e+01 2.874942e-05 0.000000e+00
2.500000e+01 3.142667e+01 3.136754e-05 0.000000e+00
